Formal Name,Course Name,Prerequisites,Corequisites
EE 1100,Introduction to Electrical Engineering,[None],[None]
MATH 1302,College Algebra,[None],[None]
MATH 1402,Pre-Calculus,MATH 1302,[None]
MATH 1426,Calculus I,MATH 1402,[None]
MATH 2425,Calculus II,MATH 1426,[None]
MATH 2326,Calculus III,MATH 2425,[None]
MATH 3319,Differential Equations & Linear Algebra,MATH 2425,MATH 2326
MATH 3313,Introduction to Linear Algebra,MATH 2326,[None]
CHEM 1441,General Chemistry I,[None],[None]
PHYS 1443,General Technical Physics I,MATH 1426,[None]
PHYS 1444,General Technical Physics II,"PHYS 1443, MATH 2425",[None]
ENGL 1301,Rhetoric and Composition I,[None],[None]
COMS 2302,Professional & Technical Communication,ENGL 1301,[None]
POLS 2311,Government of the US,[None],[None]
POLS 2312,State and Local Government,[None],[None]
HIST 13XX,U.S. History Elective,[None],[None]
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None]
UNIV 1131,Student Success,[None],[None]
EE 2310,Electric Circuit Theory I,PHYS 1444,[None]
EE 2320,Electric Circuit Theory II,EE 2310,[None]
EE 2105,Electrical Engineering Lab I,[None],EE 2310
EE 2106,Electrical Engineering Lab II,[None],EE 2320
EE 3305,Solid State Devices,"EE 2310, PHYS 1444",[None]
EE 3310,Electronics I,"EE 3305, EE 2320",[None]
EE 3320,Electronics II,EE 3310,[None]
EE 3110,Electronic Circuits Lab I,[None],EE 3310
EE 3330,Engineering Electromagnetics,"EE 2310, MATH 2326",[None]
EE 3340,Signal Analysis,"EE 2310, MATH 3319",[None]
EE 3342,Introduction to Digital Signal Processing,EE 3340,[None]
EE 3350,Probability and Statistics for Engineers,MATH 2425,[None]
EE 4301,Semiconductor Devices,EE 3305,[None]
EE 4310,Power Systems I,EE 2320,[None]
EE 4311,Power Systems II,EE 4310,[None]
EE 4315,Introduction to Control Systems,EE 3340,[None]
EE 4316,Digital Control Systems,EE 4315,[None]
EE 4320,Communication Systems,"EE 3340, EE 3350",[None]
EE 4325,Computer Architecture,EE 2320,[None]
EE 4330,Power Electronics,"EE 3310, EE 2320",[None]
EE 4332,Introduction to Radio Frequency Circuits,EE 3330,[None]
EE 4340,Digital Communications,EE 4320,[None]
EE 4350,Introduction to VLSI Design,"EE 3310, EE 3320",[None]
EE 4370,Embedded Systems,EE 4325,[None]
EE 4380,Introduction to Machine Learning for Engineers,"EE 3350, MATH 3313",[None]
EE 4391,Electrical Engineering Senior Design I,"EE 3310, EE 3340, EE 3330",[None]
EE 4392,Electrical Engineering Senior Design II,EE 4391,[None]
EE 43XX,EE Technical Elective (1),[None],[None]
EE 43XX,EE Technical Elective (2),[None],[None]
IE 2308,Engineering Economy,[None],MATH 1426
LPC XXXX,Language Philosophy and Culture Elective,[None],[None]
CA XXXX,Creative Arts Elective,[None],[None]
