Formal Name,Course Name,Prerequisites,Corequisites
IE 1100,Introduction to Industrial Engineering,[None],[None]
MATH 1302,College Algebra,[None],[None]
MATH 1402,Pre-Calculus,MATH 1302,[None]
MATH 1426,Calculus I,MATH 1402,[None]
MATH 2425,Calculus II,MATH 1426,[None]
MATH 2326,Calculus III,MATH 2425,[None]
MATH 3319,Differential Equations & Linear Algebra,MATH 2425,MATH 2326
MATH 3313,Introduction to Linear Algebra,MATH 2326,[None]
CHEM 1441,General Chemistry I,[None],[None]
PHYS 1443,General Technical Physics I,MATH 1426,[None]
PHYS 1444,General Technical Physics II,"PHYS 1443, MATH 2425",[None]
ENGL 1301,Rhetoric and Composition I,[None],[None]
COMS 2302,Professional & Technical Communication,ENGL 1301,[None]
POLS 2311,Government of the US,[None],[None]
POLS 2312,State and Local Government,[None],[None]
HIST 13XX,U.S. History Elective,[None],[None]
ENGR 1101,Entrance to Engineering for Transfer Students,[None],[None]
UNIV 1131,Student Success,[None],[None]
CSE 1310,Introduction to Computers and Programming,[None],[None]
IE 2308,Engineering Economy,[None],MATH 1426
CE 2311,Statics,PHYS 1443,[None]
IE 3301,Engineering Statistics,MATH 2425,[None]
IE 3302,Operations Research I,IE 3301,[None]
IE 3303,Work Measurement and Methods Engineering,IE 1100,[None]
IE 3304,Human Factors Engineering,IE 3303,[None]
IE 3305,Production Systems Engineering,IE 3302,[None]
IE 3306,Project Management,IE 2308,[None]
IE 3310,Manufacturing Processes,"CHEM 1441, PHYS 1443",[None]
IE 3320,Quality Control and Assurance,IE 3301,[None]
IE 3325,Ergonomics and Safety Engineering,IE 3304,[None]
IE 3330,Supply Chain and Logistics Management,IE 3302,[None]
IE 4301,Facilities Planning and Design,IE 3305,[None]
IE 4302,Operations Research II,IE 3302,[None]
IE 4305,System Simulation,"IE 3302, CSE 1310",[None]
IE 4310,Supply Chain Management,IE 3330,[None]
IE 4315,Production Control,IE 3305,[None]
IE 4320,Engineering Economy and Cost Analysis,IE 2308,[None]
IE 4325,Reliability Engineering,IE 3301,[None]
IE 4330,Decision Analysis,"IE 3301, IE 3302",[None]
IE 4335,Data Analytics for Engineers,"IE 3301, MATH 3313",[None]
IE 4340,Healthcare Systems Engineering,IE 3305,[None]
IE 4345,Lean Manufacturing,IE 3310,[None]
IE 4391,Industrial Engineering Senior Design I,"IE 3305, IE 3320",[None]
IE 4392,Industrial Engineering Senior Design II,IE 4391,[None]
IE 43XX,IE Technical Elective (1),[None],[None]
IE 43XX,IE Technical Elective (2),[None],[None]
LPC XXXX,Language Philosophy and Culture Elective,[None],[None]
CA XXXX,Creative Arts Elective,[None],[None]
